canonical_name,aliases,sector,entity_type,inclusion_reasons,profile_summary,total_donations_gel,first_donation_date,last_donation_date,donation_count,donation_details,beneficial_owner,beneficial_owner_english,ownership_chain,registry_id,registry_official_name,registry_status,registry_address,has_allegations,allegation_count,allegation_types,allegation_details,allegation_sources,state_procurement_gel,state_contracts_count,state_benefit_details,website,sanctions,nazk_war_sponsor,registry_verified,sources
Georgian Wine Empire,GEORGIAN WINE EMPIRE; KARTULI GHVINIS IMPERIA; ᲥᲐᲠᲗᲣᲚᲘ ᲦᲕᲘᲜᲘᲡ ᲘᲛᲞᲔᲠᲘᲐ,Agriculture & Wine,Company,DONOR,"Georgian Wine Empire is a agriculture & wine company that donated 200K GEL to Georgian Dream to date. The beneficial owner is Kakha Kakhniashvili & Shota Khachidze. Received approximately 12.0M GEL in state contracts, suggesting potential donor-contract correlation.",200000.0,2019-05-08,2020-12-04,2,"2019-05-08: 100,000 GEL | 2020-12-04: 100,000 GEL",Kakha Kakhniashvili & Shota Khachidze (კახა კახნიაშვილი & შოთა ხაჩიძე),Kakha Kakhniashvili & Shota Khachidze,,ge-coreg-086da4b64eebcdca2287b18bf442f50118e93978_3,,რეგისტრირებულია,"საქართველო, თბილისი, გლდანი-ნაძალადევის რაიონი, თემქა III მ/რ, I კვ., კორ.№14, ბინა №19",No,0,,,,12000000,8,"State Procurement: 12,000,000 GEL (2016-2024)",https://georgianwineempire.ge/,,,Yes,DONATIONWATCH
Tezi,TEZI; ᲗᲔᲖᲘ,Transport & Logistics,Company,DONOR,Tezi is a transport & logistics company that donated 160K GEL to Georgian Dream to date. The beneficial owner is Kakha Kakhniashvili & Shota Khachidze. No documented allegations of misconduct; included for transparency in political finance mapping.,160000.0,2016-09-23,2019-10-24,2,"2016-09-23: 110,000 GEL | 2019-10-24: 50,000 GEL",Kakha Kakhniashvili & Shota Khachidze (კახა კახნიაშვილი & შოთა ხაჩიძე),Kakha Kakhniashvili & Shota Khachidze,,ge-coreg-086da4b64eebcdca2287b18bf442f50118e93978_4,,რეგისტრირებულია,"საქართველო, თბილისი, გლდანი-ნაძალადევის რაიონი, თემქა III მ/რ, I კვ., კორ.№14, ბინა №19",No,0,,,,,,,https://tezi.ge/,,,Yes,DONATIONWATCH
GEORGIAN TRAVEL GROUP,GEORGIAN TRAVEL GROUP,Construction,Company,DONOR,GEORGIAN TRAVEL GROUP is a construction company that donated 130K GEL to Georgian Dream to date. No documented allegations of misconduct; included for transparency in political finance mapping.,130000.0,2016-08-01,2017-09-01,2,"2016-08-01: 30,000 GEL | 2017-09-01: 100,000 GEL",,,,,,,,No,0,,,,,,,https://gtg.ge/,,,Yes,DONATIONWATCH; GE_COMPANY_REGISTRY
LLC Bolero & Company,BOLERO COMPANY,Agriculture & Wine,Company,"SANCTIONED_ENTITY, DONOR",LLC Bolero & Company is a agriculture & wine company that donated 120K GEL to Georgian Dream to date. The beneficial owner is Mziseri Chakvetadze. Designated as an 'International Sponsor of War' by Ukraine's NAZK for cooperation with sanctioned Russian entities.,120000.0,2016-09-21,2016-09-21,1,"2016-09-21: 120,000 GEL",Mziseri Chakvetadze (მზისერი ჩაკვეტაძე),Mziseri Chakvetadze,,ge-coreg-4ccb29c0513e3ec79b49808014e676d63932540e,შპს ბოლერო,რეგისტრირებულია,"საქართველო, ქუთაისი, ი. ჭავჭავაძის გამზ., №51, ბ. №1ა",Yes,4,CONTRACTS; OTHER; SANCTIONS,"OTHER: Agricultural Subsidies + Preferential Agro-Credit Scheme: Director of Vakhtang Karichashvili-associated companies. 60K donation (2025). Bolero received 4.3M GEL in agro-subsidies 2024-2025. Georgian Distiller | CONTRACTS: Subsidy Abuse: Director of Bolero & Company. 40K donation (2025). Bolero received 4.3M GEL in subsidies 2024-2025. Bochorishvili & Bekauri co-donated 347K total sinc | SANCTIONS: Other: Designated as ""international sponsor of war"" by Ukraine's National Agency on Corruption Prevention (NAZK). Since January 2022 through October 2023, Bo",https://nazk.gov.ua/en/news/georgian-companies-cooperating-with-sanctioned-russians-bolero-group-added-to-the-list-of-international-sponsors-of-war/; https://transparency.ge/en/post/2024-georgian-parliamentary-election-campaign-funding-party-revenues-expenditures-and-financial,,,State Contract: 0 GEL () | Subsidy: 0 GEL () | Subsidy: 0 GEL (),https://bolero.ge/,,Yes,Yes,
Alpha,ALPHA; ALPA; ᲐᲚᲤᲐ,Trading & Distribution,Company,DONOR,Alpha is a trading & distribution company that donated 120K GEL to Georgian Dream to date. The beneficial owner is Inga Zurabiani. No documented allegations of misconduct; included for transparency in political finance mapping.,120000.0,2016-07-19,2016-07-19,1,"2016-07-19: 120,000 GEL",Inga Zurabiani (ინგა ზურაბიანი),Inga Zurabiani,,ge-coreg-01223a87d82fc343dfb5eaf812f07d9008c81442,შპს ალფაინ სფაისიზ,რეგისტრირებულია,"საქართველო, ქალაქი თბილისი, საბურთალოს რაიონი, გივი კარტოზიას ქუჩა, N 8, სართული 2, ბინა N 4, კორპუსი N1",No,0,,,,,,,,,,Yes,DONATIONWATCH
Miso Leader Credit,MISO LEADER CREDIT; MISO LIDER KREDITI; ᲛᲘᲡᲝ ᲚᲘᲓᲔᲠ ᲙᲠᲔᲓᲘᲢᲘ,Finance & Banking,Company,"FINANCIAL_INSTITUTION, DONOR",Miso Leader Credit is a finance & banking institution that has provided banking services or financing within the Georgian political economy. The beneficial owner is Kakha Kakhniashvili & Shota Khachidze. No documented allegations of misconduct; included for transparency in political finance mapping.,120000.0,2016-08-12,2016-08-12,1,"2016-08-12: 120,000 GEL",Kakha Kakhniashvili & Shota Khachidze (კახა კახნიაშვილი & შოთა ხაჩიძე),Kakha Kakhniashvili & Shota Khachidze,,ge-coreg-086da4b64eebcdca2287b18bf442f50118e93978_5,,რეგისტრირებულია,"საქართველო, თბილისი, გლდანი-ნაძალადევის რაიონი, თემქა III მ/რ, I კვ., კორ.№14, ბინა №19",No,0,,,,,,,,,,Yes,DONATIONWATCH
New Georgia-555,NEW GEORGIA555; NIU JORJIA 555; ᲜᲘᲣ ᲯᲝᲠᲯᲘᲐ 555,Trading & Distribution,Company,DONOR,New Georgia-555 is a trading & distribution company that donated 120K GEL to Georgian Dream to date. The beneficial owner is Kakha Kakhniashvili & Shota Khachidze. No documented allegations of misconduct; included for transparency in political finance mapping.,120000.0,2016-08-31,2016-08-31,1,"2016-08-31: 120,000 GEL",Kakha Kakhniashvili & Shota Khachidze (კახა კახნიაშვილი & შოთა ხაჩიძე),Kakha Kakhniashvili & Shota Khachidze,,ge-coreg-086da4b64eebcdca2287b18bf442f50118e93978_6,,რეგისტრირებულია,"საქართველო, თბილისი, გლდანი-ნაძალადევის რაიონი, თემქა III მ/რ, I კვ., კორ.№14, ბინა №19",No,0,,,,,,,,,,Yes,DONATIONWATCH
Giorgi-2004,GIORGI2004; ᲒᲘᲝᲠᲒᲘ2004,Trading & Distribution,Company,DONOR,Giorgi-2004 is a trading & distribution company that donated 120K GEL to Georgian Dream to date. The beneficial owner is Kakha Kakhniashvili & Shota Khachidze. No documented allegations of misconduct; included for transparency in political finance mapping.,120000.0,2016-09-23,2016-09-23,1,"2016-09-23: 120,000 GEL",Kakha Kakhniashvili & Shota Khachidze (კახა კახნიაშვილი & შოთა ხაჩიძე),Kakha Kakhniashvili & Shota Khachidze,,ge-coreg-086da4b64eebcdca2287b18bf442f50118e93978_7,,რეგისტრირებულია,"საქართველო, თბილისი, გლდანი-ნაძალადევის რაიონი, თემქა III მ/რ, I კვ., კორ.№14, ბინა №19",No,0,,,,,,,,,,Yes,DONATIONWATCH
Gamsakhurdia 5,GAMSAKHURDIA 5; GAMSAKHURDIAS 5; ᲒᲐᲛᲡᲐᲮᲣᲠᲓᲘᲐᲡ 5,Trading & Distribution,Company,DONOR,Gamsakhurdia 5 is a trading & distribution company that donated 120K GEL to Georgian Dream to date. The beneficial owner is Kakha Kakhniashvili & Shota Khachidze. No documented allegations of misconduct; included for transparency in political finance mapping.,120000.0,2016-10-04,2016-10-04,1,"2016-10-04: 120,000 GEL",Kakha Kakhniashvili & Shota Khachidze (კახა კახნიაშვილი & შოთა ხაჩიძე),Kakha Kakhniashvili & Shota Khachidze,,ge-coreg-086da4b64eebcdca2287b18bf442f50118e93978_8,,რეგისტრირებულია,"საქართველო, თბილისი, გლდანი-ნაძალადევის რაიონი, თემქა III მ/რ, I კვ., კორ.№14, ბინა №19",No,0,,,,,,,,,,Yes,DONATIONWATCH
CTN Georgia,CTN GEORGIA; SI TI EN JORGIA; ᲡᲘ ᲗᲘ ᲔᲜ ᲯᲝᲠᲒᲘᲐ,Legal & Professional Services,Company,"SERVICE_PROVIDER, DONOR",CTN Georgia provides professional services to the Georgian Dream government or Ivanishvili's business interests. The beneficial owner is Kakha Kakhniashvili & Shota Khachidze. No documented allegations of misconduct; included for transparency in political finance mapping.,120000.0,2016-10-17,2016-10-17,1,"2016-10-17: 120,000 GEL",Kakha Kakhniashvili & Shota Khachidze (კახა კახნიაშვილი & შოთა ხაჩიძე),Kakha Kakhniashvili & Shota Khachidze,,ge-coreg-086da4b64eebcdca2287b18bf442f50118e93978_9,,რეგისტრირებულია,"საქართველო, თბილისი, გლდანი-ნაძალადევის რაიონი, თემქა III მ/რ, I კვ., კორ.№14, ბინა №19",No,0,,,,,,,,,,Yes,DONATIONWATCH
Partner,PARTNER; PARTNIORI; ᲞᲐᲠᲢᲜᲘᲝᲠᲘ,Trading & Distribution,Company,DONOR,Partner is a trading & distribution company that donated 120K GEL to Georgian Dream to date. No documented allegations of misconduct; included for transparency in political finance mapping.,120000.0,2017-07-24,2017-08-14,2,"2017-07-24: 50,000 GEL | 2017-08-14: 70,000 GEL",,,,,,,,No,0,,,,,,,https://www.hunnewellpartners.com/,,,Yes,DONATIONWATCH; GE_COMPANY_REGISTRY
Meeki,MEEKI; ᲛᲔᲔᲙᲘ,Trading & Distribution,Company,DONOR,Meeki is a trading & distribution company that donated 120K GEL to Georgian Dream to date. The beneficial owner is Kakha Kakhniashvili & Shota Khachidze. No documented allegations of misconduct; included for transparency in political finance mapping.,120000.0,2017-09-01,2017-09-01,1,"2017-09-01: 120,000 GEL",Kakha Kakhniashvili & Shota Khachidze (კახა კახნიაშვილი & შოთა ხაჩიძე),Kakha Kakhniashvili & Shota Khachidze,,ge-coreg-086da4b64eebcdca2287b18bf442f50118e93978_10,,რეგისტრირებულია,"საქართველო, თბილისი, გლდანი-ნაძალადევის რაიონი, თემქა III მ/რ, I კვ., კორ.№14, ბინა №19",No,0,,,,,,,,,,Yes,DONATIONWATCH
Tegeta Motors,TEGETA MOTORS; TEGETA MOTORSI; ᲗᲔᲒᲔᲢᲐ ᲛᲝᲢᲝᲠᲡᲘ,Transport & Logistics,Company,"STATE_CONTRACTOR, DONOR",Tegeta Motors is a transport & logistics company that donated 120K GEL to Georgian Dream to date. The beneficial owner is Levan Vasadze. Allegations include: CONTRACTS.,120000.0,2017-09-14,2017-09-14,1,"2017-09-14: 120,000 GEL",Levan Vasadze (former) - current ownership disputed,,,ge-coreg-0ec10d607a3ce5b20e9bc500231b5782db0e1f12,შპს თეგეტა პრემიუმ ვიიქელს,რეგისტრირებულია,"საქართველო, ქალაქი თბილისი, საბურთალოს რაიონი, დავით აღმაშენებლის ხეივანი, N 129",Yes,1,CONTRACTS,CONTRACTS: Procurement Fraud: Automotive dealer receiving preferential treatment in government fleet purchases.,https://transparency.ge/en/blog/party-financing-2022-donations-overview,78000000,34,"State Procurement: 78,000,000 GEL (2014-2024)",https://www.tegeta.ge/,,,Yes,DONATIONWATCH
Deti,DETI; ᲓᲔᲢᲘ,Trading & Distribution,Company,DONOR,Deti is a trading & distribution company that donated 120K GEL to Georgian Dream to date. The beneficial owner is Davit Mamulaishvili. No documented allegations of misconduct; included for transparency in political finance mapping.,120000.0,2017-09-29,2017-09-29,1,"2017-09-29: 120,000 GEL",Davit Mamulaishvili (დავით მამულაიშვილი),Davit Mamulaishvili,,ge-coreg-53daeffb57a3c0d0fe62caba2c236eb0d6a1a570,შპს დეტი,რეგისტრირებულია,"საქართველო, თბილისი, ვაკე-საბურთალოს რაიონი, ჭავჭავაძის გამზირი №49ა",No,0,,,,,,,,,,Yes,DONATIONWATCH
Distribution Company Sarajishvili,DISTRIBUTION COMPANY SARAJISHVILI; SADISTRIBUTSIO KOMPANIA SARAJISHVILI; ᲡᲐᲓᲘᲡᲢᲠᲘᲑᲣᲪᲘᲝ ᲙᲝᲛᲞᲐᲜᲘᲐ ᲡᲐᲠᲐᲯᲘᲨᲕᲘᲚᲘ,Trading & Distribution,Company,DONOR,Distribution Company Sarajishvili is a trading & distribution company that donated 120K GEL to Georgian Dream to date. No documented allegations of misconduct; included for transparency in political finance mapping.,120000.0,2017-10-17,2017-10-17,1,"2017-10-17: 120,000 GEL",,,,ge-coreg-04b8981e2ef67abd366d01a09f650df8b42086b4,შპს სადისტრიბუციო კომპანია სარაჯიშვილი,რეგისტრირებულია,"საქართველო, ქ. თბილისის გლდანის რაიონში, სარაჯიშვილის გამზ.,№3",No,0,,,,,,,https://sarajishvili.com/,,,Yes,DONATIONWATCH
Gagra Plus,GAGRA PLUS; GAGRA PLUSI; ᲒᲐᲒᲠᲐ ᲞᲚᲣᲡᲘ,Construction,Company,DONOR,Gagra Plus is a construction company that donated 120K GEL to Georgian Dream to date. The beneficial owner is Sergo Abashidze. No documented allegations of misconduct; included for transparency in political finance mapping.,120000.0,2017-10-17,2017-10-17,1,"2017-10-17: 120,000 GEL",Sergo Abashidze (სერგო აბაშიძე),Sergo Abashidze,,ge-coreg-11cdc14213bd3347ab14c6c0d258247e1438d82b_2,შპს ბლექ სი ალიანს გაგრა,რეგისტრირებულია,"საქართველო, თბილისი, ისანი-სამგორის რაიონი, კრწანისის ქ., №16, კორ., №7, ბ.№4",No,0,,,,,,,,,,Yes,DONATIONWATCH
KMP,KMP; ᲙᲛᲞ,Trading & Distribution,Company,DONOR,KMP is a trading & distribution company that donated 120K GEL to Georgian Dream to date. No documented allegations of misconduct; included for transparency in political finance mapping.,120000.0,2017-10-17,2017-10-17,1,"2017-10-17: 120,000 GEL",,,,,,,,No,0,,,,,,,,,,No,DONATIONWATCH
Kolkhida XXI,KOLKHIDA XXI; ᲙᲝᲚᲮᲘᲓᲐ XXI,Trading & Distribution,Company,DONOR,Kolkhida XXI is a trading & distribution company that donated 120K GEL to Georgian Dream to date. The beneficial owner is Kakha Kakhniashvili & Shota Khachidze. No documented allegations of misconduct; included for transparency in political finance mapping.,120000.0,2017-10-18,2017-10-18,1,"2017-10-18: 120,000 GEL",Kakha Kakhniashvili & Shota Khachidze (კახა კახნიაშვილი & შოთა ხაჩიძე),Kakha Kakhniashvili & Shota Khachidze,,ge-coreg-086da4b64eebcdca2287b18bf442f50118e93978_11,,რეგისტრირებულია,"საქართველო, თბილისი, გლდანი-ნაძალადევის რაიონი, თემქა III მ/რ, I კვ., კორ.№14, ბინა №19",No,0,,,,,,,,,,Yes,DONATIONWATCH
Alcoholic Beverages Factory,ALCOHOLIC BEVERAGES FACTORY; ALKOHOLURI SASMELEBIS KARKHANA; ᲐᲚᲙᲝᲰᲝᲚᲣᲠᲘ ᲡᲐᲡᲛᲔᲚᲔᲑᲘᲡ ᲥᲐᲠᲮᲐᲜᲐ,Food & Beverage,Company,DONOR,Alcoholic Beverages Factory is a food & beverage company that donated 120K GEL to Georgian Dream to date. The beneficial owner is Kakha Kakhniashvili & Shota Khachidze. No documented allegations of misconduct; included for transparency in political finance mapping.,120000.0,2018-11-14,2018-11-14,1,"2018-11-14: 120,000 GEL",Kakha Kakhniashvili & Shota Khachidze (კახა კახნიაშვილი & შოთა ხაჩიძე),Kakha Kakhniashvili & Shota Khachidze,,ge-coreg-086da4b64eebcdca2287b18bf442f50118e93978_12,,რეგისტრირებულია,"საქართველო, თბილისი, გლდანი-ნაძალადევის რაიონი, თემქა III მ/რ, I კვ., კორ.№14, ბინა №19",No,0,,,,,,,,,,Yes,DONATIONWATCH
Pisi Maxi,PISI MAXI; PISI MAKSI; ᲞᲘᲡᲘ ᲛᲐᲥᲡᲘ,Trading & Distribution,Company,DONOR,Pisi Maxi is a trading & distribution company that donated 120K GEL to Georgian Dream to date. The beneficial owner is Kakha Kakhniashvili & Shota Khachidze. No documented allegations of misconduct; included for transparency in political finance mapping.,120000.0,2018-11-15,2018-11-15,1,"2018-11-15: 120,000 GEL",Kakha Kakhniashvili & Shota Khachidze (კახა კახნიაშვილი & შოთა ხაჩიძე),Kakha Kakhniashvili & Shota Khachidze,,ge-coreg-086da4b64eebcdca2287b18bf442f50118e93978_13,,რეგისტრირებულია,"საქართველო, თბილისი, გლდანი-ნაძალადევის რაიონი, თემქა III მ/რ, I კვ., კორ.№14, ბინა №19",No,0,,,,,,,,,,Yes,DONATIONWATCH
Saba and Luka,SABA AND LUKA; SABA DA LUKA; ᲡᲐᲑᲐ ᲓᲐ ᲚᲣᲙᲐ,Trading & Distribution,Company,DONOR,Saba and Luka is a trading & distribution company that donated 120K GEL to Georgian Dream to date. The beneficial owner is Kakha Kakhniashvili & Shota Khachidze. No documented allegations of misconduct; included for transparency in political finance mapping.,120000.0,2020-10-13,2020-10-15,2,"2020-10-13: 70,000 GEL | 2020-10-15: 50,000 GEL",Kakha Kakhniashvili & Shota Khachidze (კახა კახნიაშვილი & შოთა ხაჩიძე),Kakha Kakhniashvili & Shota Khachidze,,ge-coreg-086da4b64eebcdca2287b18bf442f50118e93978_14,,რეგისტრირებულია,"საქართველო, თბილისი, გლდანი-ნაძალადევის რაიონი, თემქა III მ/რ, I კვ., კორ.№14, ბინა №19",No,0,,,,,,,,,,Yes,DONATIONWATCH
Gio,GIO; JIO; ᲯᲘᲝ; ᲒᲘᲝ,Trading & Distribution,Company,DONOR,Gio is a trading & distribution company that donated 115K GEL to Georgian Dream to date. The beneficial owner is Tengiz Gelashvili. No documented allegations of misconduct; included for transparency in political finance mapping.,115000.0,2017-10-04,2021-09-10,2,"2017-10-04: 100,000 GEL | 2021-09-10: 15,000 GEL",Tengiz Gelashvili (თენგიზ გელაშვილი),Tengiz Gelashvili,,ge-coreg-f240dfeab816e26f19e716fde4caaee6dd1f9389,შპს GIO,რეგისტრირებულია,"საქართველო, ქ.რუსთავი, რუსთაველის გამზ. №32",No,0,,,,,,,,,,Yes,DONATIONWATCH
Investment-Development Company Atori,INVESTMENTDEVELOPMENT COMPANY ATORI; SAINVESTITSIODEVELOPERULI KOMPANIA ATORI; ᲡᲐᲘᲜᲕᲔᲡᲢᲘᲪᲘᲝᲓᲔᲕᲔᲚᲝᲞᲔᲠᲣᲚᲘ ᲙᲝᲛᲞᲐᲜᲘᲐ ᲐᲗᲝᲠᲘ,Construction,Company,DONOR,Investment-Development Company Atori is a construction company that donated 110K GEL to Georgian Dream to date. The beneficial owner is Kakha Kakhniashvili & Shota Khachidze. No documented allegations of misconduct; included for transparency in political finance mapping.,110000.0,2016-10-24,2016-10-24,1,"2016-10-24: 110,000 GEL",Kakha Kakhniashvili & Shota Khachidze (კახა კახნიაშვილი & შოთა ხაჩიძე),Kakha Kakhniashvili & Shota Khachidze,,ge-coreg-086da4b64eebcdca2287b18bf442f50118e93978_15,,რეგისტრირებულია,"საქართველო, თბილისი, გლდანი-ნაძალადევის რაიონი, თემქა III მ/რ, I კვ., კორ.№14, ბინა №19",No,0,,,,,,,,,,Yes,DONATIONWATCH
